NumNodes;Average - Time Median;Average - Time2 Median
8;30.7970834666667;107.87771
16;62.5598152;113.636050066667
32;152.283413533333;172.707233066667
48;184.672559;387.7912332
64;262.660988;1439.6378434
80;342.617225733333;2486.78915146667
