48,3,16,145231718
48,3,16,185166068
48,3,16,133003964
48,3,16,164554141
48,3,16,127596713
48,3,16,110466907
48,3,16,305813307
48,3,16,208399043
48,3,16,434575059
48,3,16,194216826
48,3,16,138516297
48,3,16,161938290
48,3,16,139206675
48,3,16,122442981
48,3,16,308418067
48,5,16,288416920
48,5,16,148361141
48,5,16,111451064
48,5,16,148519492
48,5,16,141795180
48,5,16,149457720
48,5,16,447356405
48,5,16,422280776
48,5,16,263990286
48,5,16,147301652
48,5,16,136298554
48,5,16,89809277
48,5,16,129385831
48,5,16,127713119
48,5,16,142068175
48,10,16,154370131
48,10,16,157598000
48,10,16,1019714198
48,10,16,345030367
48,10,16,164541146
48,10,16,138354213
48,10,16,128833319
48,10,16,156643615
48,10,16,167001637
48,10,16,146839572
48,10,16,121819840
48,10,16,107670117
48,10,16,129111328
48,10,16,141372588
48,10,16,116905113
48,15,16,111246524
48,15,16,1062094059
48,15,16,200025421
48,15,16,250309568
48,15,16,182783520
48,15,16,265097587
48,15,16,238560554
48,15,16,198453881
48,15,16,133922562
48,15,16,126895052
48,15,16,118447877
48,15,16,147694443
48,15,16,123382294
48,15,16,130192731
48,15,16,128956808
48,20,16,139840558
48,20,16,133258587
48,20,16,141471355
48,20,16,147544696
48,20,16,132995488
48,20,16,147300712
48,20,16,139676123
48,20,16,125158892
48,20,16,118592016
48,20,16,130244738
48,20,16,155076021
48,20,16,1901506831
48,20,16,1143618734
48,20,16,387065989
48,20,16,1874639765
